param	value	distribution	param1	param2	description	X	X.1	X.2	X.3	X.4	X.5	X.6	X.7
24	ratemVent	24			NA	time to death for Ventilated patient (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
25	ratemVentC	24			NA	time to death for ventilator overload patient (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
26	ventilators_available	4515			NA	maximum number of ventilators - numeric		NA	NA	NA	NA	NA	NA	NA
27	give	65			NA	system capacity stressor		NA	NA	NA	NA	NA	NA	NA
28	pdeath_h	61			NA	probability of dying when hospitalised		NA	NA	NA	NA	NA	NA	NA
29	pdeath_hc	80			NA	probability of dying when denied hospitalisation		NA	NA	NA	NA	NA	NA	NA
30	pdeath_icu	95			NA	probability of dying when admitted to ICU		NA	NA	NA	NA	NA	NA	NA
31	pdeath_icuh	97			NA			NA	NA	NA	NA	NA	NA	NA
32	pdeath_icuc	99			NA	probability of dying when admission to ICU denied		NA	NA	NA	NA	NA	NA	NA
33	pdeath_vent	80			NA	probability of dying when ventilated		NA	NA	NA	NA	NA	NA	NA
34	pdeath_ventc	95			NA	probability of dying when ventilator denied		NA	NA	NA	NA	NA	NA	NA
35	nusc	11			NA	duration of non-fatal denied hospitalisation infection (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
36	nu_icu	10.6			NA	duration of non-fatal icu infection (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
37	nu_icuh	11			NA	duration of non-fatal denied icu infection hospitalized (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
38	nu_icuc	11			NA	duration of non-fatal denied icu infection denied hospitalization (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
39	nu_vent	25			NA	duration of non-fatal ventilated infection (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
40	nu_ventc	24			NA	duration of non-fatal denied ventilation infection (days) min 1 max 20 step 0.5		NA	NA	NA	NA	NA	NA	NA
41	nu_venth	25			NA			NA	NA	NA	NA	NA	NA	NA
42	nu_venticu	25			NA			NA	NA	NA	NA	NA	NA	NA
43	pclin	20	unif	10	30	probability upon infection of developing clinical symptoms		NA	NA	NA	NA	NA	NA	NA
44					NA	probability upon hospitalisation of requiring icu admission		NA	NA	NA	NA	NA	NA	NA
45	prob_vent	75			NA	probability upon admission to the UCI of requiring a ventilator		NA	NA	NA	NA	NA	NA	NA
46	scale_ihr	1	unif	0.5	1.5	scaling in the ihr vector		NA	NA	NA	NA	NA	NA	NA
47	home_effective	1	unif	0.5	1.5	scaling in the home contact matrix		NA	NA	NA	NA	NA	NA	NA
48	perc_threshold	0.55	unif	0.4	0.6		0.79935769	0.7110628	0.60903098	0.5123111	0.56	NA	NA	NA
49	home_steep	5			NA			NA	NA	NA	NA	NA	NA	NA
50					NA			NA	NA	NA	NA	NA	NA	NA
51	w2h	0		"Default values"	NA			NA	NA	NA	NA	NA	NA	NA
52	s2h	0			NA			NA	NA	NA	NA	NA	NA	NA
53	quarantine_eff_home	0			NA			NA	NA	NA	NA	NA	NA	NA
54	quarantine_eff_other	0			NA			NA	NA	NA	NA	NA	NA	NA
55	household_size	3.3			NA			NA	NA	NA	NA	NA	NA	NA
56					NA			NA	NA	NA	NA	NA	NA	NA
57	work_cov	0			NA			NA	NA	NA	NA	NA	NA	NA
58	cocoon_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
59	work_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
60	school_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
61	school_cov	0			NA			NA	NA	NA	NA	NA	NA	NA
62	dist_cov	0			NA			NA	NA	NA	NA	NA	NA	NA
63	dist_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
64	mean_imports	0			NA			NA	NA	NA	NA	NA	NA	NA
65	others_tracing_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
66	school_tracing_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
67	home_tracing_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
68	work_tracing_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
69	quarantine_cov	0			NA			NA	NA	NA	NA	NA	NA	NA
70	vaccine_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
71	vaccine_cov	0			NA			NA	NA	NA	NA	NA	NA	NA
72	vaccine_campaign	1			NA			NA	NA	NA	NA	NA	NA	NA
73	selfis_cov	0			NA			NA	NA	NA	NA	NA	NA	NA
74	selfis_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
75	hand_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
76	travelban_eff	0			NA			NA	NA	NA	NA	NA	NA	NA
77	tau_quarantine	2			NA			NA	NA	NA	NA	NA	NA	NA
78	tau_testing	2			NA			NA	NA	NA	NA	NA	NA	NA
79	tau_result	2			NA			NA	NA	NA	NA	NA	NA	NA
80	tau_window	0			NA			NA	NA	NA	NA	NA	NA	NA
81	pt_s	0			NA			NA	NA	NA	NA	NA	NA	NA
82	pt_e	0			NA			NA	NA	NA	NA	NA	NA	NA
83	pt_i	0			NA			NA	NA	NA	NA	NA	NA	NA
84	pt_cl	0			NA			NA	NA	NA	NA	NA	NA	NA
85	pt_hc	0			NA			NA	NA	NA	NA	NA	NA	NA
86	pt_icuc	0			NA			NA	NA	NA	NA	NA	NA	NA
87	pt_x	0			NA			NA	NA	NA	NA	NA	NA	NA
88	pt_r	0			NA			NA	NA	NA	NA	NA	NA	NA
89	pt_icuh	0			NA			NA	NA	NA	NA	NA	NA	NA
90	pt_h	0			NA			NA	NA	NA	NA	NA	NA	NA
91	pt_icu	0			NA			NA	NA	NA	NA	NA	NA	NA
92	selfis_cov	0	70		NA			NA	NA	NA	NA	NA	NA	NA
93	selfis_eff	0	80		NA			NA	NA	NA	NA	NA	NA	NA
94	dist_cov	0	65		NA			NA	NA	NA	NA	NA	NA	NA
95	dist_eff	0	95		NA			NA	NA	NA	NA	NA	NA	NA
96	hand_eff	0	14		NA			NA	NA	NA	NA	NA	NA	NA
97	work_cov	0	60		NA			NA	NA	NA	NA	NA	NA	NA
98	work_eff	0	95		NA			NA	NA	NA	NA	NA	NA	NA
99	w2h	0	0		NA			NA	NA	NA	NA	NA	NA	NA
100	school_eff	0	95		NA			NA	NA	NA	NA	NA	NA	NA
101	s2h	0	0		NA			NA	NA	NA	NA	NA	NA	NA
102	cocoon_eff	0	95		NA			NA	NA	NA	NA	NA	NA	NA
103	cocoon_cov	0	30		NA			NA	NA	NA	NA	NA	NA	NA
104	age_cocoon	0	60		NA			NA	NA	NA	NA	NA	NA	NA
105	vaccine_eff	0	0		NA			NA	NA	NA	NA	NA	NA	NA
106	vaccine_cov	0	0		NA			NA	NA	NA	NA	NA	NA	NA
107	vac_campaign	0	0		NA			NA	NA	NA	NA	NA	NA	NA
108	mean_imports	0	0.2		NA			NA	NA	NA	NA	NA	NA	NA
109	travelban_dur	0	50		NA			NA	NA	NA	NA	NA	NA	NA
110	travelban_eff	0	70		NA			NA	NA	NA	NA	NA	NA	NA
111	screen_dur	0	0		NA			NA	NA	NA	NA	NA	NA	NA
112	screen_cov	0	0		NA			NA	NA	NA	NA	NA	NA	NA
113	quarantine_cov	0	0		NA			NA	NA	NA	NA	NA	NA	NA
114	quarantine_dur	0	0		NA			NA	NA	NA	NA	NA	NA	NA
115	quarantine_days	14	14		NA			NA	NA	NA	NA	NA	NA	NA
116	quarantine_eff_home	0	0		NA			NA	NA	NA	NA	NA	NA	NA
117	quarantine_eff_other	0	0		NA			NA	NA	NA	NA	NA	NA	NA
